Date,GS,C,PBR,CAT,CVX,DIS,DAL,DD,BA,KO,COP,FB,AXP,AMZN,PEP,AAPL,GOOG,WMT,GE
6/4/2012,91,24.82,19.37,83.26,96.58,44.41,10.18,47.02,67.5,36.82,51.3,26.9,53.51,214.57,67.48,80.61,289.01,65.99,18.15
6/5/2012,92.21,25.75,19.58,83.65,96.49,44.84,10.58,47.34,67.58,36.62,51.87,25.869,53.98,213.21,67,80.4,284.92,65.5,18.24
6/6/2012,94.96,27.14,19.9,86.66,99.8,45.53,10.61,48.63,69.02,37.3,53.58,26.81,55.38,217.64,67.49,81.64,289.99,65.93,18.88
6/7/2012,94,26.91,20.09,87.14,100.39,45.63,10.28,49.03,69.95,37.14,53.81,26.31,55.24,218.8,67.68,81.67,288.83,65.87,19
6/8/2012,94.54,27.77,19.51,87.6,100.84,46.24,10.38,49.5,69.94,37.62,53.97,27.1,55.86,218.48,68.31,82.903,289.93,68.22,19.2
6/11/2012,92.8,26.48,18.64,85.19,99.91,45.8,10.17,48.66,70.11,37.33,53.88,27.005,55.1,216.5,68.05,81.6,283.9658,67.53,19.11
6/12/2012,94.04,27.62,18.67,87.05,100.74,46.38,10.04,49.89,72.58,37.6,54.71,27.4,56.48,216.42,68.4,82.31,282.27,67.72,19.48
6/13/2012,92.72,27.67,18.83,85.29,100.13,46.23,10.29,49.11,72.06,37.34,54.1,27.27,55.1,214.73,68.55,81.74,280.26,67.07,19.37
6/14/2012,93.82,27.91,18.35,85.89,101.92,47.18,10.45,49.55,71.85,37.87,54.68,28.29,55.05,214.45,69.27,81.65,279.2455,67.63,19.72
6/15/2012,95.66,28.31,18.51,86.93,104.33,47.09,10.26,50.24,71.99,38.04,55.46,30.014,56.28,218.35,69.48,82.02,281.97,67.75,20
6/18/2012,93.63,27.55,19,86.74,103.46,47.1,10.63,50.32,71.9,37.99,55.07,31.41,55.85,222.66,69.6,83.68,285.14,68.12,19.75
6/19/2012,96.37,28.5,20.27,88.84,104.06,47.51,10.91,51.06,72.92,37.87,55.64,31.911,56.94,224.03,69.31,83.92,290.4742,67.81,20
6/20/2012,96.55,28.86,20.47,87.17,103.63,47.73,11.21,51.04,73.01,37.78,54.44,31.6,57.44,223.02,68.91,83.677,288.47,68.52,20.1
6/21/2012,93.9,27.83,19.56,84.98,100.02,47.4,11.23,49.54,71.37,37.34,52.76,31.84,56.32,220.575,68.5,82.52,282.32,67.7,19.53
6/22/2012,93.63,27.99,19.6,84.96,100.44,47.47,11.04,49.96,71.96,37.47,53.41,33.05,56.79,222.16,68.7,83.16,285.45,67.3,19.81
6/25/2012,91.22,26.75,17.84,82.89,99.08,46.7,10.52,49.29,71.05,37.38,52.96,32.06,56.05,220.07,68.61,81.538,280.0696,68.18,19.52
6/26/2012,91.03,26.73,17.89,82.73,100.95,47.3,11.14,48.83,70.93,37.54,53.64,33.1,56.11,225.61,68.94,81.718,282.06,68.58,19.8
6/27/2012,93.27,27.1,17.64,82.25,102.57,47.87,11.07,49.62,71.87,38.17,54.45,32.23,56.88,225.62,69.75,82.07,284.365,68.59,20.13
