Date,AAPL,GOOG
6/4/2012,80.61,289.01
6/5/2012,80.4,284.92
6/6/2012,81.64,289.99
6/7/2012,81.67,288.83
6/8/2012,82.903,289.93
6/11/2012,81.6,283.9658
6/12/2012,82.31,282.27
6/13/2012,81.74,280.26
6/14/2012,81.65,279.2455
6/15/2012,82.02,281.97
6/18/2012,83.68,285.14
6/19/2012,83.92,290.4742
6/20/2012,83.677,288.47
6/21/2012,82.52,282.32
6/22/2012,83.16,285.45
6/25/2012,81.538,280.0696
6/26/2012,81.718,282.06
6/27/2012,82.07,284.365
6/28/2012,81.29,281.87
6/29/2012,83.43,289.74
7/2/2012,84.65,289.9448
7/3/2012,85.63,293.62
7/5/2012,87.13,297.66
7/6/2012,86.55,292.7
7/9/2012,87.7,292.71
7/10/2012,86.89,290.56
7/11/2012,86.35,285.31
7/12/2012,85.56,284.95
7/13/2012,86.42,287.9717
7/16/2012,86.7,287.1725
7/17/2012,86.71,288.08
7/18/2012,86.61,290.09
7/19/2012,87.76,296.23
7/20/2012,86.33,305.1
7/23/2012,86.26,307.45
7/24/2012,85.85,303.48
7/25/2012,82.14,303.69
7/26/2012,82.13,306.37
7/27/2012,83.59,317.16
7/30/2012,85,315.83
7/31/2012,87.25,316.17
8/1/2012,86.687,316.0237
8/2/2012,86.83,314.06
8/3/2012,87.96,320.34
8/6/2012,88.936,321.09
8/7/2012,88.702,319.95
8/8/2012,88.55,320.79
8/9/2012,88.68,320.8538
8/10/2012,88.81,320.68
8/13/2012,90,329.67
8/14/2012,90.24,334
8/15/2012,90.12,333.44
8/16/2012,90.91,336.1
8/17/2012,92.59,338.23
8/20/2012,95.02,337.43
8/21/2012,93.723,334.42
8/22/2012,95.55,338.251
8/23/2012,94.66,338.06
8/24/2012,94.746,338.98
8/27/2012,96.53,334.28
8/28/2012,96.4,338.29
8/29/2012,96.209,343.66
8/30/2012,94.838,340.5
8/31/2012,95.03,342.2
9/4/2012,96.42,340.18
9/5/2012,95.75,340.02
9/6/2012,96.61,349.3503
9/7/2012,97.21,352.72
9/10/2012,94.68,350.03
9/11/2012,94.37,345.75
9/12/2012,95.68,345.095
9/13/2012,97.57,352.67
9/14/2012,98.754,354.49
9/17/2012,99.969,354.64
9/18/2012,100.27,358.78
9/19/2012,100.3,363.39
9/20/2012,99.81,363.6942
9/21/2012,100.0136,366.63
9/24/2012,98.68,374.32
9/25/2012,96.22,374.21
9/26/2012,95.03,376.35
9/27/2012,97.33,377.87
9/28/2012,95.301,376.87
10/1/2012,94.2,380.51
10/2/2012,94.47,378.12
10/3/2012,95.92,380.87
10/4/2012,95.26,383.64
10/5/2012,93.23,383.441
10/8/2012,91.17,378.54
10/9/2012,90.84,371.673
10/10/2012,91.56,371.908
10/11/2012,89.7,375.36
10/12/2012,89.959,372
10/15/2012,90.68,370.12
10/16/2012,92.8275,371.9776
10/17/2012,92.0877,377.37
10/18/2012,90.38,347.152
10/19/2012,87.12,340.55
10/22/2012,90.58,339
10/23/2012,87.6222,339.83
10/24/2012,88.12,338.3124
10/25/2012,87.077,338.54
10/26/2012,86.29,337.24
10/31/2012,85.05,339.8087
11/1/2012,85.22,343.45
11/2/2012,82.4,343.615
11/5/2012,83.5173,341.14
11/6/2012,83.2642,340.52
11/7/2012,79.7146,333.226
11/8/2012,76.82,325.82
11/9/2012,78.15,331.18
11/12/2012,77.55,332.62
11/13/2012,77.557,329.1971
11/14/2012,76.7,325.95
11/15/2012,75.09,323.306
11/16/2012,75.3826,323.266
11/19/2012,80.8186,333.77
11/20/2012,80.1305,334.65
11/21/2012,80.24,332.6
11/23/2012,81.64,333.65
11/26/2012,84.22,330.24
11/27/2012,83.54,335.02
11/28/2012,83.28,341.49
11/29/2012,84.194,345.6
11/30/2012,83.61,348.84
12/3/2012,83.74,347.277
12/4/2012,82.2636,345.17
12/5/2012,76.9703,343.5661
12/6/2012,78.1778,345.22
12/7/2012,76.18,341.763
12/10/2012,75.6887,342.37
12/11/2012,77.341,348.09
12/12/2012,77,348.43
12/13/2012,75.67,350.999
12/14/2012,72.828,350.6306
12/17/2012,74.12,360.03
12/18/2012,76.27,360.17
12/19/2012,75.19,359.69
12/20/2012,74.5329,360.8188
12/21/2012,74.19,357.457
12/24/2012,74.31,354.4
12/26/2012,73.2856,354.08
12/27/2012,73.58,352.79
12/28/2012,72.7985,349.65
12/31/2012,76.0247,353.34
1/2/2013,78.43,361.26
1/3/2013,77.4423,361.47
1/4/2013,75.2857,368.616
1/7/2013,74.8,367.01
1/8/2013,75.04,366.2834
1/9/2013,73.8714,368.69
1/10/2013,74.79,370.37
1/11/2013,74.33,369.625
1/14/2013,71.68,361.26
1/15/2013,69.42,362.1
1/16/2013,72.3,357.24
1/17/2013,71.81,355.304
1/18/2013,71.429,351.9
1/22/2013,72.11,351.084
1/23/2013,73.429,370.38
1/24/2013,64.36,376.5381
1/25/2013,62.84,376.46
1/28/2013,64.261,374.99
1/29/2013,65.47,376.46
1/30/2013,65.26,376.54
1/31/2013,65.07,377.47
2/1/2013,64.8,387.4
2/4/2013,63.188,379.13
2/5/2013,65.406,382.487
2/6/2013,65.34,384.7
2/7/2013,66.89,386.588
2/8/2013,67.85,392.29
2/11/2013,68.56,390.82
2/12/2013,66.843,389.96
2/13/2013,66.72,391.04
2/14/2013,66.6557,393.52
2/15/2013,65.74,396.05
