Date,FB,AMZN,AAPL,GOOG
6/4/2012,26.9,214.57,80.61,289.01
6/5/2012,25.869,213.21,80.4,284.92
6/6/2012,26.81,217.64,81.64,289.99
6/7/2012,26.31,218.8,81.67,288.83
6/8/2012,27.1,218.48,82.903,289.93
6/11/2012,27.005,216.5,81.6,283.9658
6/12/2012,27.4,216.42,82.31,282.27
6/13/2012,27.27,214.73,81.74,280.26
6/14/2012,28.29,214.45,81.65,279.2455
6/15/2012,30.014,218.35,82.02,281.97
6/18/2012,31.41,222.66,83.68,285.14
6/19/2012,31.911,224.03,83.92,290.4742
6/20/2012,31.6,223.02,83.677,288.47
6/21/2012,31.84,220.575,82.52,282.32
6/22/2012,33.05,222.16,83.16,285.45
6/25/2012,32.06,220.07,81.538,280.0696
6/26/2012,33.1,225.61,81.718,282.06
6/27/2012,32.23,225.62,82.07,284.365
6/28/2012,31.36,221.31,81.29,281.87
6/29/2012,31.095,228.35,83.43,289.74
7/2/2012,30.771,229.32,84.65,289.9448
7/3/2012,31.2,229.53,85.63,293.62
7/5/2012,31.47,227.06,87.13,297.66
7/6/2012,31.73,225.05,86.55,292.7
7/9/2012,32.17,225.05,87.7,292.71
7/10/2012,31.47,219.5,86.89,290.56
7/11/2012,30.97,218.37,86.35,285.31
7/12/2012,30.81,215.36,85.56,284.95
7/13/2012,30.72,218.39,86.42,287.9717
7/16/2012,28.245,216.01,86.7,287.1725
7/17/2012,28.09,216.93,86.71,288.08
7/18/2012,29.11,217.47,86.61,290.09
7/19/2012,29,226.17,87.76,296.23
7/20/2012,28.76,228.29,86.33,305.1
7/23/2012,28.75,226.01,86.26,307.45
7/24/2012,28.45,223.04,85.85,303.48
7/25/2012,29.34,217.05,82.14,303.69
7/26/2012,26.845,220.01,82.13,306.37
7/27/2012,23.705,237.32,83.59,317.16
7/30/2012,23.15,236.09,85,315.83
7/31/2012,21.71,233.3,87.25,316.17
8/1/2012,20.88,232.09,86.687,316.0237
8/2/2012,20.04,230.81,86.83,314.06
8/3/2012,21.09,234.97,87.96,320.34
8/6/2012,21.92,233.99,88.936,321.09
8/7/2012,20.72,236.56,88.702,319.95
8/8/2012,20.72,234.38,88.55,320.79
8/9/2012,21.01,234.06,88.68,320.8538
8/10/2012,21.807,232.75,88.81,320.68
8/13/2012,21.6,232.44,90,329.67
8/14/2012,20.38,233.19,90.24,334
8/15/2012,21.2,237.42,90.12,333.44
8/16/2012,19.87,241.55,90.91,336.1
8/17/2012,19.05,241.17,92.59,338.23
8/20/2012,20.011,240.35,95.02,337.43
8/21/2012,19.159,239.45,93.723,334.42
8/22/2012,19.439,243.1,95.55,338.251
8/23/2012,19.44,241.198,94.66,338.06
8/24/2012,19.409,245.74,94.746,338.98
8/27/2012,19.15,243.92,96.53,334.28
8/28/2012,19.34,246.11,96.4,338.29
8/29/2012,19.1,247.12,96.209,343.66
8/30/2012,19.0885,246.22,94.838,340.5
8/31/2012,18.058,248.27,95.03,342.2
9/4/2012,17.729,247.88,96.42,340.18
9/5/2012,18.58,246.22,95.75,340.02
9/6/2012,18.96,251.38,96.61,349.3503
9/7/2012,18.98,259.14,97.21,352.72
9/10/2012,18.81,257.09,94.68,350.03
9/11/2012,19.43,255.67,94.37,345.75
9/12/2012,20.931,255.63,95.68,345.095
9/13/2012,20.713,260.24,97.57,352.67
9/14/2012,22,261.27,98.754,354.49
9/17/2012,21.52,258,99.969,354.64
9/18/2012,21.87,258.75,100.27,358.78
9/19/2012,23.29,261.68,100.3,363.39
9/20/2012,22.59,260.81,99.81,363.6942
9/21/2012,22.86,257.47,100.0136,366.63
9/24/2012,20.79,254.805,98.68,374.32
9/25/2012,20.28,252.46,96.22,374.21
9/26/2012,20.62,249.67,95.03,376.35
9/27/2012,20.32,256.59,97.33,377.87
9/28/2012,21.66,254.32,95.301,376.87
10/1/2012,21.99,252.01,94.2,380.51
10/2/2012,22.27,250.6,94.47,378.12
10/3/2012,21.83,255.92,95.92,380.87
10/4/2012,21.9475,260.47,95.26,383.64
10/5/2012,20.91,258.51,93.23,383.441
10/8/2012,20.4,259.06,91.17,378.54
10/9/2012,20.227,250.96,90.84,371.673
10/10/2012,19.64,244.99,91.56,371.908
10/11/2012,19.75,244.22,89.7,375.36
10/12/2012,19.5181,242.36,89.959,372
10/15/2012,19.52,244.18,90.68,370.12
10/16/2012,19.48,243.94,92.8275,371.9776
10/17/2012,19.88,247.49,92.0877,377.37
10/18/2012,18.975,244.85,90.38,347.152
10/19/2012,19,240,87.12,340.55
10/22/2012,19.321,233.78,90.58,339
10/23/2012,19.5,234.31,87.6222,339.83
10/24/2012,23.2299,228.49,88.12,338.3124
10/25/2012,22.56,222.92,87.077,338.54
10/26/2012,21.9425,238.24,86.29,337.24
10/31/2012,21.11,232.8931,85.05,339.8087
11/1/2012,21.21,232.14,85.22,343.45
11/2/2012,21.18,232.4224,82.4,343.615
11/5/2012,21.25,234.33,83.5173,341.14
11/6/2012,21.1712,237.56,83.2642,340.52
